Date,Close,High,Low,Open,Volume,MA,STD,Zscore,Signal,Position
2020-07-17,339.1461486816406,340.99435657636343,332.6774210501107,333.6015249974721,65727485,308.8355484008789,18.271370975243837,1.6589122032402506,-1,-1.0
2020-07-20,338.2220764160156,341.9184925517098,334.9877122972833,341.9184925517098,42769238,311.2151168823242,18.86506350014962,1.4315859330914649,-1,-1.0
2020-07-21,353.93182373046875,357.6282396441029,343.3046279787706,344.22873195717915,64219128,314.3801727294922,20.471506939488936,1.9320341740295917,-1,-1.0
2020-07-22,354.85595703125,356.7041651407878,350.23543675740564,352.08364486694336,43759670,317.70694732666016,21.398968862475503,1.7360186812427711,-1,-1.0
2020-07-23,352.545654296875,353.93181021154163,350.2353944390973,353.0077062684305,45209282,320.7795944213867,21.7848284949603,1.4581735120309547,-1,-1.0
2020-07-24,356.70416259765625,365.0210990312804,353.00774640493444,360.4005787903781,86682734,323.9446517944336,22.192628032002897,1.4761438237950812,-1,-1.0
2020-07-27,392.2822265625,392.2822265625,384.88939308193466,388.5858098222173,99333798,329.1427398681641,25.35877414292233,2.4898477481001673,-1,-1.0
2020-07-28,401.98529052734375,431.0945701862204,395.9786137723375,428.78430989583336,166307746,334.77977600097654,28.374312535310217,2.368533667299737,-1,-1.0
2020-07-29,389.9718933105469,398.7508814300971,387.6616332790863,395.5165173860522,85663166,339.608219909668,29.16810324118991,1.726669471251649,-1,-1.0
2020-07-30,401.0611877441406,407.52991657872354,395.9786150883969,403.37144804220594,69293949,344.7832061767578,30.468028513577394,1.8471159544275666,-1,-1.0
2020-07-31,393.2062377929688,399.2129135759401,393.2062377929688,393.6682897762742,49897674,349.21890716552736,30.749952389697924,1.4304845116501193,-1,-1.0
2020-08-03,384.42724609375,391.8200777493991,383.5031421367939,388.58571390005255,76429571,352.82291107177736,30.423291772284216,1.0388203636387685,-1,-1.0
2020-08-04,393.2062377929688,393.2062377929688,386.737510026692,389.50982192652486,41223445,356.84276275634767,30.16837760864894,1.2053506989449818,-1,-1.0
2020-08-05,396.4406433105469,400.59911159702114,393.668331119564,397.8267994060383,47223834,360.90882263183596,29.72593166315744,1.1953139461310591,-1,-1.0
